PacketCounter,Acc_X,Acc_Y,Acc_Z,
0,0,0,0, 
1,-8.874123573,-0.679626524,2.768367767, 
2,-8.873473167,-0.6139732,2.761705875, 
3,-8.834931374,-0.518205583,2.797576189, 
4,-8.921975136,-0.508252025,2.836314678, 
5,-8.999269485,-0.533705711,2.816626549, 
6,-9.107514381,-0.613553643,2.853754997, 
7,-9.238413811,-0.62760812,2.94905591, 
8,-9.315173149,-0.664987206,3.0244174, 
9,-9.2879076,-0.784249663,2.952279091, 
10,-9.356492043,-0.918024421,2.915961504, 
11,-9.4090662,-1.100381374,2.840000868, 
12,-9.492028236,-1.15633142,2.849095583, 
13,-9.486642838,-0.968567908,2.856375217, 
14,-9.41118145,-0.917464077,2.895764828, 
15,-9.480053902,-0.881772876,2.954768896, 
16,-9.541958809,-0.924830616,3.002420664, 
17,-9.502543449,-1.105391979,2.984278202, 
18,-9.367800713,-1.191296339,2.918233156, 
19,-9.209679604,-1.22127378,2.819494486, 
20,-9.26220417,-1.314773321,2.725590706, 
21,-9.39744091,-1.413037419,2.58670783, 
22,-9.388744354,-1.416482091,2.433223248, 
23,-9.218002319,-1.494612098,2.343254328, 
24,-9.025524139,-1.503804088,2.305296421, 
25,-8.9522295,-1.287770629,2.270295382, 
26,-8.910707474,-1.106283188,2.290467501, 
27,-9.00732708,-1.08169651,2.307413578, 
28,-9.202269554,-1.194890857,2.27965188, 
29,-9.394330978,-1.262881279,2.348522425, 
30,-9.581329346,-1.164235592,2.463665247, 
31,-9.717392921,-1.043125033,2.545585871, 
32,-9.74269104,-1.159273505,2.602757215, 
33,-9.820854187,-1.325475097,2.635091305, 
34,-9.872433662,-1.486603379,2.605512381, 
35,-9.874031067,-1.623863697,2.561533451, 
36,-9.79417038,-1.679305315,2.435746193, 
37,-9.682277679,-1.831301093,2.283406258, 
38,-9.642106056,-2.050971508,2.101383924, 
39,-9.6283741,-2.301100969,1.96160686, 
40,-9.556369781,-2.436258793,1.849617481, 
41,-9.431333542,-2.479624748,1.765345454, 
42,-9.254405022,-2.508145809,1.649252295, 
43,-9.15892601,-2.478940248,1.626651049, 
44,-9.090911865,-2.409852743,1.626876354, 
45,-9.108563423,-2.377356768,1.689242601, 
46,-9.149327278,-2.278923035,1.825347424, 
47,-9.151376724,-2.220567226,1.913936615, 
48,-9.226408958,-2.046863079,2.05485487, 
49,-9.211568832,-1.861409664,2.149399042, 
50,-9.283227921,-1.660060406,2.319944859, 
51,-9.2971735,-1.570350528,2.435545683, 
52,-9.296604156,-1.477792859,2.60724926, 
53,-9.250766754,-1.497730613,2.720008373, 
54,-9.245512009,-1.532763124,2.839811802, 
55,-9.268593788,-1.614396214,2.883728027, 
56,-9.261181831,-1.613652825,2.928193331, 
57,-9.207645416,-1.49127233,2.925243378, 
58,-9.124627113,-1.355243325,2.916049957, 
59,-9.119188309,-1.284361601,2.869709015, 
60,-9.227641106,-1.263197899,2.825106144, 
61,-9.331486702,-1.27811873,2.82088089, 
62,-9.28958416,-1.245267153,2.796091557, 
63,-9.183558464,-1.254084826,2.732274294, 
64,-9.192109108,-1.180521369,2.694669962, 
65,-9.24239254,-1.113642097,2.64490366, 
66,-9.231343269,-1.112011909,2.62864089, 
67,-9.212422371,-1.079863667,2.604550838, 
68,-9.211267471,-1.043241024,2.560447454, 
69,-9.299034119,-1.107560277,2.502231121, 
70,-9.390885353,-1.21090579,2.502262354, 
71,-9.302830696,-1.290979981,2.453446627, 
72,-9.246713638,-1.319894075,2.408802748, 
73,-9.324363708,-1.397663951,2.341113091, 
74,-9.443282127,-1.439763069,2.338146448, 
75,-9.490115166,-1.448429108,2.250044346, 
76,-9.634625435,-1.418675423,2.145313501, 
77,-9.786496162,-1.380609155,2.083408833, 
78,-9.916755676,-1.301302552,2.047048092, 
79,-10.01613617,-1.212618232,1.946704388, 
80,-9.995007515,-1.255111337,1.845424294, 
81,-9.786570549,-1.278197408,1.787450671, 
82,-9.520105362,-1.181063294,1.705340385, 
83,-9.389989853,-1.127860308,1.500899076, 
84,-9.472895622,-1.210685253,1.246808171, 
